Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
evaluacion_085a9772	oncahui	Le doy a su interfaz un 0 de 5 en claridad.	game/script.rpy	234	oncahui "[what]"
evaluacion_67280a5a	oncahui	¡Ah! Otra cosa que recuerdo es el {b}lenguaje{/b} usado. El tono, palabras usadas y diálogos se me hicieron...	game/script.rpy	237	oncahui "[what]" nointeract
evaluacion_8b2bccb7	oncahui	Noté que el guión fue apropiado.	game/script.rpy	240	oncahui "[what]"
evaluacion_09686b14	oncahui	Noté que el guión tuvo cosas por mejorar.	game/script.rpy	242	oncahui "[what]"
evaluacion_2329ae40	oncahui	Noté que el guión no era adecuado para mí.	game/script.rpy	244	oncahui "[what]"
evaluacion_da832fec	oncahui	Además, honestamente, los {b}elementos visuales{/b} como ilustraciones y botones me parecieron...	game/script.rpy	247	oncahui "[what]" nointeract
evaluacion_6294344e	oncahui	¡Me gustó el estilo visual!	game/script.rpy	250	oncahui "[what]"
evaluacion_1c787bbf	oncahui	Varios elementos pudieron ser mejores.	game/script.rpy	252	oncahui "[what]"
evaluacion_eb2fe352	oncahui	No me gustaron...	game/script.rpy	254	oncahui "[what]"
evaluacion_e2da7229	oncahui	Bueno, voy a terminar de ver los créditos del juego y apreciar el esfuerzo de todos los involucrados	game/script.rpy	256	oncahui "[what]"
